BUILD_YR,sale_year,SALE_PRICE,PARCEL_ARE,TAX_TOT,TOTAL_MV1,apn,licenseNum,tier,licensedUn,eviction_count,own_same_zip,LLORD_in_MPLS,latitude_1,longitude_,yWebMerc_1,Shape_Area
1961,2008,983703,5601.477431,6665.78,595000,0202824420019,LIC330902,1,5,1,0,0,44.93991,-93.25336,5612067.107,5.93235E-08
1962,2010,350000,7832.336901,10881.76,580000,0102824310184,LIC119451,1,8,1,0,1,44.93902,-93.23939,5611927.082,8.29483E-08
1971,2016,3400000,29984.5963,64470.44,3550500,0102824330134,LIC280794,1,41,2,0,1,44.93507,-93.24695,5611304.725,3.1753E-07
1963,2005,1365000,19317.56263,35052.32,1828500,0102824410008,LIC119359,2,24,1,0,1,44.94011,-93.22767,5612097.762,2.04587E-07
1968,2004,700000,11996.70584,20822.18,1097500,0102824410032,LIC111670,1,14,2,0,1,44.94081,-93.2293,5612208.458,1.27055E-07
1969, ,0,32157.09725,25729.36,795500,0102924110104,LIC118716,3,12,1,1,1,45.03515,-93.22781,5627057.125,3.4079E-07
1959,2014,145000,5181.335634,3576.92,221000,0102924110145,LIC133729,1,1,1,0,0,45.03363,-93.23107,5626817.684,5.49623E-08
1948,2007,365000,9383.879888,5972.08,329000,0102924230083,LIC122272,2,4,1,0,0,45.0306,-93.2469,5626340.06,9.95369E-08
1964,2004,755000,9395.395196,17189,947000,0102924230085,LIC112664,3,12,1,1,1,45.03104,-93.24689,5626409.206,9.96596E-08
1914, ,0,4998.328248,2717.16,182000,0102924240163,LIC148370,1,1,1,0,1,45.029,-93.2375,5626088.731,5.30169E-08
1968,2001,675000,15066.80311,24122.86,1328500,0202824420152,LIC259923,1,15,3,0,1,44.93811,-93.25586,5611783.802,1.59562E-07
1915,2018,250000,5733.659945,3382.96,226500,0202824430086,LIC127069,1,1,2,0,0,44.93746,-93.25656,5611680.834,6.07209E-08
1887,2014,180000,6243.239128,3957.96,194500,0202824430148,LIC186893,1,2,1,0,0,44.93443,-93.25582,5611204.639,6.61135E-08
1916,2012,185000,6114.248502,11379.4,180000,0202824430198,LIC146600,1,5,1,0,0,44.93429,-93.25279,5611182.533,6.47478E-08
1924,2009,55000,4929.36915,3868.34,213000,0202824440009,LIC125119,1,2,1,0,0,44.93662,-93.24775,5611548.88,5.22022E-08
1961,2012,350000,6464.882256,12874.8,709000,0202824440152,LIC146734,1,11,1,1,1,44.9348,-93.24774,5611263.7,6.8461E-08
1962,2010,114500,6457.65979,4883.08,269000,0202924210015,LIC128897,3,2,1,0,0,45.03527,-93.25804,5627075.383,6.85031E-08
1917,1983,30000,5788.375495,7439.24,395500,0302824110135,LIC134523,2,4,1,0,1,44.94637,-93.27065,5613083.035,6.13096E-08
1897, ,0,5620.813805,4338.56,239000,0302824130073,LIC189948,1,2,1,0,1,44.94251,-93.277,5612475.028,5.9531E-08
1912,1993,99000,5618.592615,8814.56,466500,0302824130090,LIC145095,2,4,1,0,1,44.94263,-93.27753,5612494.149,5.95078E-08
1900, ,0,5846.932458,3349.68,238000,0302824130099,LIC155827,1,1,1,1,1,44.94239,-93.27573,5612456.325,6.19257E-08
1900,2008,36000,5825.933704,3235.84,138500,0302824140029,LIC141391,3,1,1,0,1,44.9448,-93.27063,5612836.141,6.17056E-08
1900,2017,291630,5813.021285,6807.02,375000,0302824140065,LIC358659,3,4,1,0,0,44.94343,-93.27243,5612620.775,6.15675E-08
1979,1984,58000,5790.471895,2976.82,198500,0302824140228,LIC134822,1,1,1,1,1,44.9448,-93.27244,5612835.171,6.13303E-08
1971,2009,1090000,21463.02105,32620.92,1796500,0202824110005,LIC120166,1,24,2,0,1,44.9477,-93.24781,5613291.992,2.27337E-07
1970,2000,779000,18496.52766,41871.5,2262000,0302824210017,LIC274546,1,21,1,0,1,44.94706,-93.28257,5613191.718,1.95914E-07
1963,2015,1185000,11395.42826,25321.3,1394500,0302824220014,LIC139674,2,17,1,1,1,44.94711,-93.28394,5613199.301,1.207E-07
1968,2014,1000000,11843.81713,23795.74,1311000,0302824220026,LIC132026,1,15,1,1,1,44.94775,-93.28465,5613298.796,1.25451E-07
1922,2018,3900000,19512.05958,55410.12,3051500,0202824120001,LIC366172,1,37,1,0,1,44.94588,-93.25563,5613005.97,2.06667E-07
1958,2018,438000,5235.438613,6955.22,383000,0202824120055,LIC370571,1,6,1,0,1,44.9468,-93.25665,5613150.386,5.54534E-08
1963,2000,725000,13530.59883,27996.58,1542500,0202824120162,LIC303512,1,23,1,1,1,44.94589,-93.25341,5613006.928,1.43313E-07
1900,1998,57000,5111.182491,2842.04,206500,0202824120179,LIC350532,1,1,1,1,1,44.94537,-93.25412,5612925.327,5.4136E-08
1908,2009,823000,11816.89111,39664.3,210100,0302824220215,LIC137179,2,2,1,0,0,44.94806,-93.28457,5613348.46,1.25166E-07
1925,1993,398384,5424.644381,9532.92,509000,0302824230093,LIC116089,1,2,1,1,1,44.94445,-93.28649,5612780.154,5.74549E-08
1916,1994,61111,5673.347504,11579.2,622000,0302824230112,LIC324076,1,4,1,0,1,44.94434,-93.28772,5612762.975,6.0089E-08
1884,1997,60000,5296.274604,4005.98,205000,0302824230170,LIC146096,1,2,1,0,0,44.94231,-93.28344,5612444.013,5.60932E-08
1901,2018,320000,8564.286044,6770.72,373000,0302824240011,LIC364977,1,3,1,0,0,44.94387,-93.27841,5612689.748,9.07081E-08
1962,2015,1517025,17140.08381,43929.72,2365500,0302824240013,LIC133189,1,29,4,0,1,44.94353,-93.27841,5612635.74,1.81536E-07
1886,2016,288000,8058.564031,5606.48,282500,0302824240037,LIC115161,1,2,1,1,1,44.94374,-93.28016,5612668.117,8.53511E-08
1961,2018,695000,7673.34525,15043.74,828500,0202824130042,LIC373920,3,11,2,1,1,44.944,-93.25465,5612709.768,8.12716E-08
1901,1995,67000,7457.769211,4185.12,230500,0202824130076,LIC163409,2,1,1,1,1,44.94259,-93.25285,5612487.264,7.89864E-08
1961,2015,1210000,7457.91954,13291.8,732000,0202824130077,LIC187654,3,11,1,0,0,44.94242,-93.25285,5612461.443,7.89876E-08
1909,2014,237791,4888.507338,5592.72,308000,0202824140035,LIC279356,1,4,1,0,0,44.9418,-93.25154,5612363.34,5.17741E-08
1963,2005,646000,11131.93276,8778.06,64600,0202824140050,LIC112643,1,11,2,0,0,44.94498,-93.24779,5612863.469,1.17905E-07
1962,2004,1070000,9976.803439,16403.1,885500,0302824240066,LIC128360,1,11,1,0,1,44.94266,-93.27925,5612498.93,1.05666E-07
1885,2012,110000,8206.243585,5425.3,278500,0302824240203,LIC125964,1,2,2,0,0,44.94456,-93.28015,5612797.616,8.69163E-08
1916,2008,275000,4944.639123,4802.5,264500,0202824210163,LIC116631,1,2,1,0,1,44.9474,-93.25849,5613244.069,5.23738E-08
1900,1994,65000,5096.258129,125,0,0202824240019,LIC161896,1,2,1,0,1,44.94373,-93.26098,5612667.65,5.39761E-08
1968,2005,1057500,18730.31034,31940.94,1759000,0202824310030,LIC198726,1,21,1,0,1,44.93865,-93.25788,5611868.566,1.98362E-07
1907, ,0,3757.066362,2187.38,142500,0202824310056,LIC134618,1,1,1,0,0,44.93826,-93.25964,5611806.565,3.97886E-08
1913,2012,51000,3650.296836,2766.06,182000,0202824330042,LIC131340,1,1,1,0,0,44.93761,-93.26353,5611705.174,3.86575E-08
1922,2016,787500,5708.830688,15225.6,830500,0302824420060,LIC361998,1,11,2,1,1,44.9385,-93.27369,5611844.059,6.04588E-08
1910,2009,65625,4508.040459,2914.54,183500,0302824420075,LIC204884,1,1,1,0,0,44.94118,-93.27564,5612265.466,4.7744E-08
1920,2017,4900000,13544.26902,41314.02,2099500,0302824420093,LIC359370,1,34,5,1,1,44.94068,-93.27752,5612187.989,1.43444E-07
