BUILD_YR,sale_year,SALE_PRICE,PARCEL_ARE,TAX_TOT,TOTAL_MV1,apn,licenseNum,tier,licensedUn,eviction_count,own_same_zip,LLORD_in_MPLS,latitude_1,longitude_,yWebMerc_1,Shape_Area
1916,1998,43500,5613.490341,4147.02,228500,0602823330055,LIC138470,1,2,1,0,0,44.93686,-93.22392,5611586.776,5.94478E-08
1961,2016,760000,5989.745353,18158.16,975500,0602823330099,LIC189182,2,16,3,0,1,44.93733,-93.22676,5611660.542,6.34326E-08
1966,2001,400000,12023.5714,22737.38,1203000,0602823330134,LIC142778,2,14,1,0,0,44.93548,-93.22542,5611370.193,1.27328E-07
1960,2007,570000,11695.05114,14995.62,778500,0702823420159,LIC144721,1,10,1,0,1,44.92415,-93.21771,5609587.75,1.23825E-07
1904,2010,51577,5183.001945,4803.4,243000,0702823210157,LIC145321,1,1,1,0,1,44.93167,-93.2216,5610770.416,5.48835E-08
1926,2016,2650000,79249.23745,120705.8,10780000,0702823230014,LIC357345,1,78,1,0,0,44.92939,-93.22475,5610412.684,8.3915E-07
1970,2005,1416000,21655.57018,33202.68,1784000,0702823240066,LIC235564,2,24,1,0,1,44.92901,-93.22069,5610353.007,2.29303E-07
1961,1998,260000,10426.99961,12212.06,617000,0702823310096,LIC149854,1,8,1,0,0,44.9246,-93.21794,5609659.606,1.104E-07
2006,2007,500,113885.1129,430024.62,23590000,0702823310158,LIC324098,1,163,1,1,1,44.92418,-93.22011,5609593.846,1.2059E-06
1959,1985,425000,37719.88333,73486.96,4047000,0802824330108,LIC161174,1,32,1,0,0,0,0,0,3.99356E-07
1939,1999,60000,5482.293979,2193.48,109500,0802924110019,LIC150866,3,1,1,0,0,45.01793,-93.3099,5624344.707,5.81393E-08
1926,2018,181000,4883.583732,1726.56,138000,0802924110081,LIC123829,1,1,1,0,1,45.01934,-93.30918,5624566.721,5.1791E-08
1958,2014,90000,5096.76147,2591.04,144000,0802924110099,LIC131459,2,2,1,0,0,45.01945,-93.31045,5624584.175,5.40523E-08
1908,2009,9900,5001.229987,2809.38,98000,0802924110183,LIC128578,3,1,1,0,1,45.01766,-93.31299,5624302.775,5.30374E-08
1924,1995,38000,5085.485169,1806.04,94500,0802924110190,LIC137695,3,1,1,0,0,45.01902,-93.31299,5624515.675,5.3932E-08
1922,1997,41100,4637.426279,1954.46,111000,0802924120042,LIC243986,2,1,1,0,0,45.02022,-93.31409,5624704.512,4.91812E-08
1927,2014,90000,5103.465256,1754.26,118500,0802924130046,LIC150125,1,1,1,0,0,45.01618,-93.31371,5624068.342,5.41202E-08
1911,2015,66100,5106.015057,1872.7,126500,0802924130160,LIC280502,1,1,1,0,0,45.01473,-93.31371,5623840.245,5.41457E-08
1914,2014,52000,4613.60356,1117.7,75500,0802924140049,LIC134054,1,1,1,0,0,45.0135,-93.31298,5623647.652,4.89231E-08
1924,2012,30000,4751.776522,1450.78,98000,0802924140119,LIC275724,1,1,1,0,0,45.01661,-93.31044,5624136.176,5.03909E-08
1925,2018,200000,6797.431064,4219.14,234500,0802924140151,LIC120768,2,4,1,0,1,45.01463,-93.30862,5623825.208,7.20823E-08
1910,2015,80000,5702.578015,2622.38,144500,0902924130019,LIC140325,3,2,1,1,1,45.01572,-93.29396,5623996.575,6.04728E-08
1907,2009,37000,5705.176784,2939.72,151000,0902924130029,LIC124051,1,1,1,0,0,45.01634,-93.29469,5624094.171,6.0501E-08
1907,2014,94860,5832.353733,1928.56,98500,0902924130034,LIC132184,2,1,1,0,0,45.01573,-93.29469,5623997.598,6.18494E-08
1913,2015,72500,5706.316776,1281.78,109500,0902924130044,LIC138223,1,1,1,1,1,45.01585,-93.29523,5624017.38,6.05129E-08
1911,2014,43000,5706.238126,1530.26,102500,0902924130045,LIC129037,1,1,1,0,0,45.01597,-93.29523,5624036.74,6.05122E-08
1961,2009,90000,6339.520022,5163.44,284500,0902924130061,LIC129231,3,5,1,0,1,45.01537,-93.29595,5623941.935,6.72273E-08
1917,2013,40499,5571.007152,2562.32,109000,0902924130091,LIC262167,1,1,1,0,1,45.01526,-93.29775,5623923.664,5.90772E-08
1929,1998,120000,5743.856388,5228.8,263500,0902924130115,LIC150895,3,5,1,0,1,45.01333,-93.29722,5623620.288,6.0908E-08
1910,2008,35000,5746.892283,2541.04,140000,0902924130173,LIC119567,3,2,1,0,0,45.01378,-93.29397,5623691.726,6.0941E-08
1898,2013,45000,5830.85713,2541.94,125500,0902924140019,LIC125024,1,2,1,0,0,45.01617,-93.28965,5624066.803,6.18337E-08
1921,2010,100,5836.633095,1800.1,90000,0902924140028,LIC273978,2,1,1,0,0,45.01642,-93.29018,5624107.204,6.18948E-08
1917,2014,86000,5843.160419,1629.8,91500,0902924140031,LIC185961,1,1,1,0,0,45.01643,-93.29091,5624108.056,6.19641E-08
1904,2011,24000,5123.891218,1685.66,100500,0802924410031,LIC127735,1,1,1,0,1,45.0112,-93.31243,5623284.647,5.43322E-08
1955,2014,104600,5123.89454,1998.08,134500,0802924410034,LIC129047,1,1,1,0,0,45.01087,-93.31243,5623232.831,5.43317E-08
1965,2015,1185950,10196.38205,7300.88,631000,0802924410071,LIC132349,3,11,1,0,0,45.01163,-93.30861,5623352.25,1.0812E-07
1900,2017,50000,5094.219145,1457.92,84000,0802924410077,LIC355751,2,1,1,0,1,45.01212,-93.30915,5623430.04,5.40183E-08
1900,2009,20000,5107.191134,1664.8,88000,0802924410102,LIC117676,2,2,2,1,1,45.00977,-93.30914,5623059.4,5.41539E-08
1932,2017,220000,5100.34709,2727.38,151000,0802924420051,LIC361419,1,1,1,1,1,45.01076,-93.31553,5623215.941,5.40822E-08
1907,2003,1,5364.691715,1202.84,68000,0802924420080,LIC357948,1,1,2,0,1,45.01273,-93.31371,5623526.337,5.68872E-08
1958,2016,69100,5855.178115,2070.24,121000,0902924140044,LIC354147,1,2,1,0,0,45.01656,-93.29216,5624129.501,6.20922E-08
1951,2010,75000,5850.664116,1502.9,83000,0902924140061,LIC147828,3,1,1,0,0,45.01533,-93.29217,5623934.991,6.2043E-08
1940,2014,57500,5855.668841,2040.38,119000,0902924140068,LIC133531,1,1,1,0,0,45.01546,-93.2927,5623955.466,6.20963E-08
1900,2018,85000,5828.674781,1308.84,70000,0902924140084,LIC364832,1,1,1,0,0,45.01557,-93.28965,5623972.405,6.18102E-08
1924,2008,18000,5479.389431,1562.64,70000,0902924140097,LIC139944,1,1,1,0,1,45.01543,-93.28839,5623950.872,5.81058E-08
1924,2013,35000,5123.24487,2194.86,58500,0902924140106,LIC146935,2,1,1,0,0,45.01568,-93.28893,5623990.294,5.43297E-08
1920,2017,50000,5817.282958,1351.12,60000,0902924140147,LIC355752,3,1,1,0,1,45.01465,-93.29144,5623828.836,6.16884E-08
1924,2008,22000,5099.058472,1671.52,96500,0902924140189,LIC117315,1,1,1,0,0,45.01391,-93.28965,5623712.007,5.40713E-08
1908,2016,108000,4989.482667,2284.4,147000,0902924210062,LIC232746,1,1,1,0,0,45.02014,-93.29848,5624692.703,5.29151E-08
1922,2014,126000,5714.525255,2600.36,157500,0902924210075,LIC149724,1,1,1,0,0,45.01873,-93.29902,5624470.767,6.06029E-08
1942,2009,39655,5069.704376,2551.78,155500,0902924210112,LIC128413,1,1,1,0,0,45.02006,-93.30227,5624680.748,5.37654E-08
1923,2010,21000,5070.037792,1887.4,111000,0902924210123,LIC124229,1,1,1,1,1,45.02007,-93.30281,5624681.389,5.37691E-08
1956,2012,38900,5066.422156,1954.24,115500,0902924210128,LIC124535,1,1,1,0,0,45.01919,-93.30228,5624542.561,5.37301E-08
1911,2014,73000,5074.615703,1927.26,113500,0902924210165,LIC137298,1,1,1,0,0,45.01804,-93.30155,5624362.191,5.38158E-08
1903,2002,103000,5642.062583,2636.84,131000,0902924210174,LIC109995,1,2,1,0,0,45.01794,-93.30228,5624346.988,5.98336E-08
1915,2013,23500,5146.407762,1077.02,72500,0802924440028,LIC127232,1,1,1,0,0,45.0084,-93.31041,5622844.517,5.45681E-08
1951,2011,31500,7690.073067,1426.14,96000,0802924440076,LIC122593,1,1,1,0,0,45.00865,-93.31242,5622883.909,8.15394E-08
1900,2001,69900,5267.969339,1039.9,70000,0802924440109,LIC275852,2,1,1,0,0,45.00769,-93.31114,5622732.195,5.58564E-08
1900,2001,30000,4931.280724,1225.58,82500,0802924440178,LIC259554,1,1,1,0,0,45.00807,-93.30859,5622791.929,5.22867E-08
1904,2003,1,1398.837154,1019.94,56500,0802924440195,LIC157360,1,2,1,1,1,45.00949,-93.30911,5623016.22,1.48324E-08
1907,2014,60000,5011.768463,1849.74,108500,0902924210188,LIC135602,1,1,1,0,0,45.01729,-93.30228,5624243.331,5.31488E-08
1925,2014,115000,5010.084954,2327.48,140500,0902924210191,LIC136776,2,1,1,0,0,45.01696,-93.30228,5624192.037,5.31307E-08
1922,2003,122500,5035.272143,2294.68,139500,0902924220066,LIC111515,1,1,1,0,0,45.01795,-93.30609,5624347.39,5.33986E-08
1919,2011,17900,5036.103467,1258.32,85000,0902924220086,LIC357949,2,1,1,0,0,45.01806,-93.30663,5624364.999,5.34076E-08
1908,1995,26000,5036.98698,3027.82,155500,0902924220089,LIC146043,1,2,1,0,1,45.01838,-93.30663,5624415.969,5.34173E-08
1924,2010,52500,4806.326228,2468.5,152000,0902924220119,LIC121555,1,1,1,0,0,45.02029,-93.30356,5624716.262,5.09728E-08
1926,2014,41800,5070.612768,2137.72,106000,0902924220144,LIC324570,1,1,1,0,0,45.01986,-93.30409,5624648.267,5.37752E-08
1916,1999,15000,5126.574054,1705.1,56500,0902924220162,LIC129241,1,1,2,0,1,45.01888,-93.30482,5624493.7,5.4368E-08
1916,2015,81000,5069.25836,1524.8,103000,0902924220214,LIC129521,1,1,1,0,0,45.01955,-93.30736,5624600.268,5.37604E-08
1957,2000,155000,6782.113253,5478.68,304500,0902924220230,LIC304441,2,6,1,1,1,45.01994,-93.30789,5624661.224,7.19262E-08
1957,1998,125000,6782.911757,5460.74,301000,0902924220231,LIC169571,3,6,1,1,1,45.02009,-93.3079,5624684.321,7.19348E-08
1916,2014,55000,5070.092174,1948.56,116000,0902924230048,LIC130653,1,1,1,0,0,45.01424,-93.30662,5623763.447,5.37643E-08
1911,2014,78000,5077.077838,1682.08,98000,0902924230053,LIC127296,1,1,1,0,0,45.01479,-93.30662,5623849.749,5.38392E-08
1926,2003,123700,5049.121497,2079.66,125000,0902924230081,LIC117354,2,1,1,0,0,45.01636,-93.30662,5624096.917,5.35434E-08
1923,2012,100,4987.743104,2219.54,98500,0902924230090,LIC206167,1,1,1,0,1,45.01604,-93.30734,5624046.762,5.28929E-08
1893,2018,71000,5038.343027,1195.88,80500,0902924230114,LIC369167,1,1,1,0,0,45.01436,-93.30355,5623782.513,5.34279E-08
1962,2012,175000,4563.171854,5155.9,285500,0902924230122,LIC128382,3,6,1,0,0,45.0134,-93.30365,5623631.77,4.83882E-08
1969,2003,210000,10076.26151,11395.48,610000,0902924230124,LIC168247,1,11,1,0,1,45.01343,-93.30409,5623636.534,1.06849E-07
1925,2013,40115,7962.720892,2964.68,115500,0902924230173,LIC277541,2,1,2,0,0,45.01559,-93.30355,5623975.563,8.44405E-08
1929,2016,190000,4984.742901,3431.46,56000,0902924230220,LIC107247,3,4,1,1,1,45.01572,-93.30788,5623996.401,5.28607E-08
1940,2014,85000,5745.112422,2039.98,116000,0902924240024,LIC278700,1,1,1,0,0,45.01444,-93.29901,5623795.542,6.09229E-08
1923,2008,39900,5015.29874,2062.96,120000,0902924240026,LIC116876,1,1,1,0,0,45.01422,-93.29974,5623760.595,5.31833E-08
1922,2008,37900,5028.535444,1545.2,103500,0902924240031,LIC363013,2,1,1,0,0,45.01379,-93.30029,5623692.515,5.33232E-08
1921,2018,145000,5044.790817,899.71,86000,0902924240043,LIC143386,1,1,1,0,0,45.01391,-93.30155,5623710.945,5.34956E-08
1920,2009,15000,4884.017594,1236.58,73000,0902924240057,LIC357975,3,1,1,0,0,45.01377,-93.30227,5623689.117,5.1791E-08
1940,2016,72100,5388.849432,1871.56,122000,0902924240109,LIC136963,1,1,2,0,0,45.01663,-93.29902,5624140.392,5.71469E-08
1931,2016,75000,5399.618317,1933.36,129500,0902924240117,LIC133494,1,1,1,0,0,45.01583,-93.29974,5624013.362,5.72605E-08
1933,2012,54000,5345.188496,2122.24,126000,0902924240167,LIC128363,2,1,1,0,1,45.01607,-93.30227,5624052.42,5.66833E-08
1900,2014,29050,7955.946045,2147.26,104000,0902924240194,LIC132538,2,1,1,0,0,45.01439,-93.30102,5623787.45,8.43669E-08
1900,2008,16000,5044.209745,1277.58,86000,0902924310127,LIC323917,1,1,1,0,0,45.01242,-93.30281,5623476.414,5.34885E-08
1909,2009,23750,5028.595886,1654.54,103000,0902924310150,LIC121765,1,1,1,0,0,45.00985,-93.3028,5623072.066,5.33203E-08
1925,2009,30000,10174.21447,2088.66,119500,0902924310170,LIC124058,3,1,1,0,0,45.01055,-93.301,5623182.261,1.07883E-07
1913,2008,23000,5438.980432,1597.46,85000,0902924320024,LIC206166,1,1,2,1,1,45.00999,-93.30534,5623094.672,5.7672E-08
1907,2008,22000,5204.519142,1775.1,96500,0902924320061,LIC357973,1,1,2,0,0,45.01237,-93.30355,5623468.38,5.51883E-08
1919,2014,101000,5204.251472,2161.5,145500,0902924320079,LIC125642,1,1,1,0,0,45.01271,-93.30409,5623522.371,5.51856E-08
1891,2009,34900,5232.536447,2633.66,143000,0902924320108,LIC351379,2,2,1,0,0,45.0125,-93.30661,5623489.412,5.54853E-08
2001,2014,128000,5206.2599,1492.98,100500,0902924320128,LIC128101,3,1,1,0,0,45.01271,-93.30481,5623523.12,5.5207E-08
1926,2009,19000,5208.661914,1671.26,112500,0902924320131,LIC122088,1,1,1,0,0,45.01237,-93.3048,5623469.7,5.52323E-08
1923,2012,45000,5374.337677,2149.54,119000,0902924320153,LIC130938,3,2,1,0,0,45.01127,-93.30354,5623295.328,5.69878E-08
1923,2009,67500,5374.09504,5315,142000,0902924320154,LIC353775,1,2,1,0,1,45.01115,-93.30354,5623276.925,5.69852E-08
1911,2003,1,5036.849645,1255.3,84500,0902924320199,LIC357951,1,1,1,0,0,45.01059,-93.30733,5623188.175,5.34085E-08
1925,2015,85000,10074.99542,4180.76,231500,0902924320200,LIC144169,2,4,1,0,0,45.01064,-93.30786,5623197.338,1.06831E-07
1927,2009,17000,5385.025019,1810.3,73500,0902924330006,LIC120959,2,1,1,1,1,45.0089,-93.30732,5622921.946,5.70989E-08
1909,2010,45000,5427.89534,1632.12,106500,0902924330093,LIC134348,2,1,1,0,0,45.00831,-93.30659,5622829.394,5.75527E-08
1924,2016,150000,5365.50008,5180.02,266000,0902924330106,LIC344615,3,5,2,0,0,45.0082,-93.30785,5622812.097,5.68909E-08
1916,2011,40000,5424.368408,1277.58,86000,0902924330193,LIC152329,3,1,1,0,0,45.00673,-93.30532,5622581.201,5.75141E-08
1911,2008,15000,5358.563048,1277.58,86000,0902924330213,LIC123290,1,1,1,1,1,45.00674,-93.30731,5622582.733,5.68163E-08
1916,2017,52600,3642.200313,1521.38,97000,0902924340052,LIC354494,1,1,1,0,0,45.00625,-93.30091,5622505.734,3.86175E-08
1932,2008,22000,5299.912098,1905.74,91500,0902924340062,LIC117695,1,1,1,1,1,45.00672,-93.30225,5622579.162,5.61943E-08
1916,2014,40000,5772.547149,1501.34,83000,0902924110007,LIC132659,1,1,1,0,1,45.01967,-93.29091,5624619.356,6.12192E-08
1885,2013,45000,5768.668254,1769.84,101000,0902924110014,LIC129955,1,1,1,0,0,45.01879,-93.29091,5624480.387,6.11771E-08
1902,2018,127000,5816.278746,2070.26,99500,0902924110101,LIC375431,3,2,1,0,0,45.01737,-93.29019,5624256.584,6.16805E-08
1918,2011,103000,4963.916577,2613.64,144000,0902924110113,LIC126981,1,2,1,0,0,45.01984,-93.28841,5624645.915,5.26435E-08
1916,2004,174900,7450.3932,1575.06,105500,0902924110118,LIC120609,1,1,1,0,0,45.01927,-93.28841,5624555.302,7.90125E-08
1922,2009,39150,4976.268089,1433.22,96000,0902924110143,LIC218551,1,1,1,0,0,45.01794,-93.2884,5624345.487,5.2773E-08
1921,2018,167000,4981.452531,1473.62,84000,0902924110151,LIC142931,2,1,1,0,0,45.01706,-93.2884,5624207.421,5.28271E-08
1914,2009,17000,4750.207018,1724.32,83500,0902924110154,LIC130420,1,1,1,0,0,45.01685,-93.28893,5624173.98,5.03747E-08
1906,2014,30000,5047.836121,6192.2,101000,0902924340139,LIC137306,1,1,1,0,0,45.00885,-93.30026,5622914.795,5.35234E-08
1889,2016,110000,5050.9854,1507.84,101500,0902924340142,LIC364047,2,1,1,0,0,45.00929,-93.30027,5622984.015,5.35572E-08
1900,2011,20000,5324.037025,1607.96,91500,0902924340179,LIC133781,1,1,1,0,0,45.00693,-93.29847,5622612.693,5.64502E-08
1924,2008,31500,4996.722935,4017.9,114500,0902924340207,LIC215569,3,1,1,0,1,45.00682,-93.29972,5622594.691,5.29796E-08
1902,2017,176000,6828.887818,1883.78,147500,0902924340243,LIC359724,1,1,1,1,1,45.00805,-93.29971,5622788.484,7.24076E-08
1917,2014,77000,4983.328098,1589.98,106500,0902924410005,LIC128515,1,1,1,0,0,45.01075,-93.28838,5623214.163,5.28411E-08
1909,2015,181500,8721.422453,3123.38,172500,0902924410009,LIC155757,3,3,1,0,0,45.01027,-93.28838,5623138.734,9.24776E-08
1923,2004,135000,4985.021248,1811.28,99500,0902924410015,LIC121668,2,1,1,0,1,45.00977,-93.28891,5623059.439,5.28582E-08
1908,2017,90000,5046.834464,1709.42,114500,0902924410048,LIC362053,1,1,1,0,0,45.01021,-93.29017,5623129.492,5.35141E-08
1900,2002,54000,5046.568526,1697.36,93500,0902924410051,LIC108499,1,2,1,0,0,45.01054,-93.29017,5623181.251,5.35117E-08
1900,2008,16000,5049.64789,1770.3,91000,0902924410075,LIC173150,1,1,1,0,0,45.00989,-93.29143,5623078.784,5.35435E-08
1900,2008,22500,5049.476538,2096.66,115500,0902924410077,LIC121563,1,2,1,0,1,45.01011,-93.29143,5623113.307,5.35418E-08
1913,2016,200000,4244.703845,1665.08,99000,0902924410088,LIC132743,3,1,1,0,1,45.0112,-93.29216,5623285.169,4.50095E-08
2002,2002,5000,5049.888664,1709.42,114500,0902924410091,LIC125900,1,1,1,0,0,45.01088,-93.29216,5623234.752,5.35472E-08
1914,2008,59500,5050.682051,2611.6,135500,0902924410101,LIC220153,2,2,1,0,1,45.00979,-93.29215,5623062.111,5.35545E-08
1900,2006,94000,5051.06132,2895.3,159500,0902924410113,LIC122329,1,3,2,0,0,45.01067,-93.2927,5623200.697,5.35596E-08
1900,2003,1,5050.9796,1448.16,97000,0902924410114,LIC268409,3,1,1,1,1,45.01078,-93.2927,5623217.965,5.35585E-08
1924,2014,100150,4923.458577,1701.96,114000,0902924410190,LIC135734,1,1,1,0,0,45.01248,-93.29049,5623486.67,5.22079E-08
1922,2009,36100,4741.586047,1537.08,88500,0902924110168,LIC122025,1,1,1,0,0,45.01838,-93.28894,5624414.774,5.02846E-08
1959,2014,188500,5035.118442,5267.74,279500,0902924120015,LIC135299,3,6,1,0,1,45.0187,-93.29595,5624466.246,5.33977E-08
1918,2014,60000,5052.815784,1611.4,92500,0902924120028,LIC131672,1,1,1,0,0,45.02002,-93.29649,5624673.412,5.35866E-08
1923,2011,52000,5007.42205,1669,96500,0902924120072,LIC254572,1,1,1,0,0,45.01727,-93.29721,5624240.416,5.31028E-08
1923,2009,15500,5059.274517,2670.6,84500,0902924120091,LIC271045,3,1,1,0,0,45.01835,-93.29595,5624410.876,5.36535E-08
1911,2009,19500,5064.45743,1231.68,82500,0902924120167,LIC129028,1,1,1,0,0,45.01913,-93.29523,5624534.386,5.37093E-08
1911,2010,23200,5034.576551,1677.16,97000,0902924120187,LIC128260,1,1,1,0,0,45.01744,-93.29469,5624267.671,5.33908E-08
1917,2009,26000,5035.111144,3531,90500,0902924120188,LIC119032,2,1,1,0,0,45.01733,-93.29468,5624250.421,5.33963E-08
1922,2014,37500,5033.769812,2501.16,90000,0902924120215,LIC185973,2,1,1,0,0,45.01754,-93.29342,5624283.374,5.33824E-08
1915,2014,108600,5035.906449,2162.36,129500,0902924120219,LIC186897,1,1,1,0,0,45.0171,-93.29342,5624214.378,5.34046E-08
1912,2009,14000,5034.952758,1943.86,94500,0902924120225,LIC128595,1,2,1,0,0,45.01733,-93.29397,5624249.54,5.33947E-08
1903,2014,135000,4578.063241,2032.82,112000,0902924410202,LIC145448,1,2,1,0,0,45.0125,-93.29273,5623488.862,4.85453E-08
1910,2006,100,3680.012665,1224.2,82000,0902924410209,LIC124478,2,1,1,0,0,45.01209,-93.29192,5623424.314,3.90222E-08
1911,2010,10000,4928.282275,1418.3,95000,0902924410220,LIC126252,1,1,1,0,0,45.01159,-93.29259,5623346.648,5.22584E-08
1897,2014,84925,10096.31171,2705.04,149000,0902924410231,LIC131040,3,2,2,0,0,45.01049,-93.29089,5623173.253,1.07057E-07
1900,2003,205000,5743.119322,2750.08,151500,0902924420016,LIC108701,1,2,1,0,0,45.01159,-93.29396,5623345.883,6.08987E-08
1907,2012,165089,6593.985701,5413.72,151800,0902924420025,LIC266707,3,4,1,0,0,45.01282,-93.29397,5623539.295,6.99224E-08
1897,2008,31000,5705.870939,2747.16,137000,0902924420067,LIC123241,3,2,1,0,1,45.01237,-93.29722,5623469.545,6.05043E-08
1900,2016,100000,5705.904337,2160.52,119000,0902924420068,LIC133851,3,2,1,0,1,45.01225,-93.29722,5623450.185,6.05048E-08
2006,2009,69000,5705.977404,3073.76,188500,0902924420070,LIC128402,1,1,1,0,0,45.012,-93.29721,5623411.465,6.05052E-08
1912,2014,77200,5567.222129,1806.28,104000,0902924420078,LIC126014,1,1,1,0,0,45.01189,-93.29775,5623393.315,5.90336E-08
1900,2016,75000,5735.029027,2131.3,126000,0902924420095,LIC107308,1,1,1,0,0,45.01044,-93.29721,5623165.25,6.08117E-08
1902,2018,156000,5734.39631,1860.6,103000,0902924420097,LIC365451,2,2,1,0,0,45.01019,-93.29721,5623126.322,6.08044E-08
1900,2009,90000,5733.502969,1966.46,104500,0902924420117,LIC142420,1,1,2,0,1,45.01092,-93.29595,5623240.448,6.07957E-08
1912,2017,95000,5736.504424,2488.32,167500,0902924420134,LIC358734,1,1,1,0,0,45.01055,-93.29649,5623183.199,6.08272E-08
1900,2014,100000,4050.030989,2339.76,157500,0902924420138,LIC129039,2,1,1,0,0,45.01112,-93.29632,5623272.766,4.29453E-08
1900,2009,13950,3814.882502,1860.74,77500,0902924420180,LIC270647,1,1,2,0,0,45.01009,-93.29396,5623110.1,4.04509E-08
1900,2016,46256,8144.038745,2519.14,99500,0902924430048,LIC354027,3,2,2,0,0,45.00628,-93.29339,5622510.913,8.63495E-08
1906,2003,148900,5433.272506,2409.82,132000,0902924430138,LIC130476,2,1,1,0,1,45.00692,-93.29648,5622610.95,5.76085E-08
1907,2005,154500,5433.433404,2420.16,116500,0902924430157,LIC145873,3,1,1,0,1,45.00669,-93.29647,5622574.115,5.76099E-08
1951,2014,87000,5370.81741,2098.4,118000,0902924430164,LIC134265,1,1,1,0,0,45.00622,-93.29719,5622501.105,5.69455E-08
1911,2017,280000,6732.669712,4842,252500,0902924430167,LIC352104,1,4,2,1,1,45.00617,-93.29782,5622492.465,7.13847E-08
1962,2008,64155,8128.019931,4202.12,231500,0902924430238,LIC121424,3,4,1,0,0,45.00855,-93.29395,5622867.831,8.61829E-08
1900,2014,83000,7239.685761,1569.68,86500,0902924430248,LIC129100,3,2,1,0,0,45.00667,-93.29395,5622571.86,7.67614E-08
1884,2014,67500,3768.648254,2169.28,119500,0902924440013,LIC126377,1,2,2,0,0,45.00923,-93.28891,5622975.433,3.996E-08
1915,2011,120780,7847.780923,4020.42,359000,0902924440020,LIC125754,3,4,2,0,1,45.00788,-93.28837,5622762.257,8.32105E-08
1900,2018,142500,5415.726202,1706.12,94000,0902924440089,LIC367244,2,2,1,0,1,45.00809,-93.28962,5622795.112,5.74237E-08
1907,2014,65000,5414.995475,1475.02,92500,0902924440116,LIC128918,2,1,1,0,0,45.00926,-93.29089,5622979.773,5.74169E-08
1900,2014,35000,5415.666684,1637.46,85000,0902924440133,LIC126179,1,2,2,0,0,45.0081,-93.29089,5622796.147,5.74229E-08
1910,2013,58000,5428.951468,1996.52,110000,0902924440152,LIC132341,2,2,1,0,0,45.00701,-93.29142,5622624.627,5.75626E-08
1900,2010,37000,3619.89567,1429.3,91500,0902924440166,LIC142031,1,1,1,0,0,45.00613,-93.29158,5622486.748,3.83809E-08
1906,2012,100,5430.722658,4120.02,215000,0902924440178,LIC150101,1,2,1,0,1,45.00619,-93.29214,5622496.467,5.7581E-08
1900,2009,15000,5429.790785,4064.58,135500,0902924440189,LIC120855,3,2,1,1,1,45.00713,-93.29215,5622643.715,5.75715E-08
1900,2015,66500,5430.216216,2259.38,124500,0902924440194,LIC107723,2,2,1,0,0,45.00713,-93.29269,5622644.223,5.75762E-08
1900,2013,80000,5415.06372,1815.02,100000,0902924440223,LIC128818,2,2,1,0,0,45.00904,-93.29269,5622944.517,5.74174E-08
1910,2010,120000,4845.795672,4419.9,243500,1002924140061,LIC124790,2,2,1,1,1,45.01511,-93.27099,5623899.824,5.13866E-08
1941,2008,49875,6277.348726,1724.34,115500,1002924220041,LIC324548,1,1,1,0,0,45.0194,-93.28543,5624576.901,6.65724E-08
1902,2009,13800,6275.344973,1261.54,84500,1002924220047,LIC118792,1,1,1,0,0,45.01864,-93.28543,5624456.022,6.65502E-08
1949,2012,54500,6275.131226,1575.06,105500,1002924220071,LIC146408,1,1,1,0,1,45.0193,-93.28695,5624559.837,6.65487E-08
1916,2010,29006,6234.070591,1171.96,78500,1002924220084,LIC120837,2,1,1,0,0,45.0193,-93.28761,5624559.926,6.61135E-08
1915,2015,30000,6248.517297,3181,85000,1002924220087,LIC324658,2,1,1,0,0,45.01963,-93.28761,5624611.707,6.62669E-08
1905,2019,92000,7292.7883,2820.48,73500,1002924230133,LIC220163,2,1,1,0,1,45.01451,-93.28759,5623805.849,7.73348E-08
1905,2012,58500,7325.65917,2051.62,113000,1002924230138,LIC130851,1,2,1,0,0,45.01366,-93.28691,5623671.822,7.76823E-08
1889,2018,115000,7319.429519,2388.58,122500,1002924230150,LIC370289,3,2,1,1,1,45.01366,-93.28537,5623671.675,7.76162E-08
1963,2017,195000,6409.488208,1523.76,124500,1002924230160,LIC129307,2,2,1,0,1,45.0139,-93.28604,5623710.168,6.79673E-08
1915,2018,170000,4006.963564,2124.22,117000,1002924230190,LIC365093,1,2,1,0,0,45.01511,-93.28584,5623900.007,4.24915E-08
1900,2003,240000,8658.982881,2549.78,140500,1002924320097,LIC127384,1,2,2,0,0,45.00967,-93.28447,5623044.467,9.18144E-08
1900, ,0,6297.047225,1714.86,94500,1002924320133,LIC149827,2,2,1,0,1,45.0098,-93.28447,5623064.906,6.67705E-08
1900,2009,16000,4737.999478,1588.46,87500,1002924320146,LIC131446,1,2,1,0,0,45.01049,-93.28437,5623173.341,5.02396E-08
1993, ,0,22109.07435,2087.92,115000,1002924320180,LIC128251,1,1,1,0,1,45.01011,-93.28597,5623113.241,2.34433E-07
1900,2014,75000,5427.620513,2555.8,141500,1002924410069,LIC185972,3,1,1,0,0,45.00992,-93.26976,5623082.805,5.75516E-08
1900,1998,60000,6134.622947,4345.6,221000,1002924440024,LIC108520,2,1,1,1,1,45.00777,-93.26972,5622744.358,6.50457E-08
1921,2010,1590000,35268.92967,52666.44,2894000,1002824430167,LIC178332,1,29,1,0,1,44.92206,-93.27753,5609260.04,3.73407E-07
